uf20-01 6403 1 2 3 4 -5 6 7 8 9 10 11 12 -13 14 -15 16 17 18 19 20 0 
uf20-02 4747 1 2 3 -4 5 6 -7 8 -9 -10 -11 12 -13 14 15 16 -17 18 19 -20 0 
uf20-03 3118 1 2 3 4 5 6 -7 8 9 10 11 -12 13 14 15 -16 17 -18 19 20 0 
uf20-04 3089 -1 -2 3 4 5 -6 7 8 -9 10 11 -12 13 14 -15 16 17 18 19 20 0 
uf20-05 3186 -1 2 -3 4 5 6 7 8 -9 10 -11 12 13 -14 15 16 -17 18 -19 20 0 
uf20-06 4669 1 2 -3 4 5 -6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 0 
uf20-07 3381 -1 2 3 4 -5 6 7 8 9 -10 11 12 13 14 15 -16 -17 18 19 20 0 
uf20-08 3039 1 2 3 4 -5 6 7 -8 9 10 11 12 13 14 15 16 -17 -18 -19 20 0 
uf20-09 3429 -1 2 3 4 5 6 7 -8 9 10 11 12 13 14 -15 16 17 -18 19 20 0 
uf20-010 7843 -1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 -17 -18 19 20 0 
uf20-011 7683 1 2 3 4 5 6 -7 -8 -9 10 -11 12 13 14 15 16 17 18 19 20 0 
uf20-012 5375 1 -2 3 -4 -5 6 7 8 9 -10 -11 12 13 14 15 -16 17 18 19 -20 0 
uf20-013 5570 1 2 3 4 5 6 7 8 9 -10 -11 12 -13 14 15 -16 17 -18 -19 20 0 
uf20-014 7025 1 -2 3 4 5 6 -7 8 -9 10 11 12 13 14 15 16 17 18 19 -20 0 
uf20-015 5046 -1 2 3 4 5 6 7 8 9 10 11 -12 13 14 15 -16 -17 18 19 -20 0 
uf20-016 6936 1 2 -3 4 5 -6 -7 8 9 10 11 12 13 14 15 -16 -17 18 19 20 0 
uf20-017 7948 1 2 3 4 5 6 7 8 9 10 11 12 -13 14 15 16 -17 18 19 20 0 
uf20-018 6538 1 2 3 -4 5 -6 -7 8 9 10 -11 12 13 14 15 16 17 18 19 20 0 
uf20-019 5609 -1 -2 3 4 5 -6 7 8 9 10 11 12 13 14 -15 -16 17 -18 19 -20 0 
uf20-020 6144 1 2 3 4 5 6 7 8 -9 -10 11 -12 13 -14 15 16 17 18 -19 20 0 
uf20-021 6451 1 2 3 -4 -5 6 7 8 9 -10 11 12 13 14 15 16 -17 18 19 -20 0 
uf20-022 6289 -1 2 -3 4 -5 -6 7 8 9 10 11 12 13 14 -15 16 17 18 19 20 0 
uf20-023 5746 1 2 3 4 -5 6 7 8 9 10 -11 12 13 14 -15 16 -17 18 -19 -20 0 
uf20-024 4886 1 -2 3 -4 5 -6 -7 -8 9 10 11 -12 -13 14 15 -16 17 18 19 20 0 
uf20-025 6830 1 2 3 4 5 6 7 -8 9 10 11 12 -13 14 15 -16 17 18 -19 20 0 
uf20-026 6140 1 2 3 4 5 6 7 -8 9 10 -11 -12 13 14 -15 16 17 18 -19 -20 0 
uf20-027 7237 -1 2 3 -4 5 6 7 -8 9 10 11 12 13 -14 15 16 17 18 19 20 0 
uf20-028 5256 1 2 -3 4 5 6 -7 8 9 10 -11 12 13 -14 -15 -16 17 -18 19 20 0 
uf20-029 5613 1 2 3 4 5 -6 -7 -8 9 10 11 12 13 -14 15 16 -17 -18 19 20 0 
uf20-030 3493 1 2 3 4 -5 6 7 8 9 -10 11 -12 13 14 15 16 17 18 -19 20 0 
uf20-031 2390 -1 -2 3 -4 5 6 7 8 9 10 11 -12 -13 14 15 16 17 18 -19 -20 0 
uf20-032 3411 1 2 3 4 5 6 -7 -8 9 -10 11 12 13 14 -15 16 17 18 19 20 0 
uf20-034 3764 1 2 3 4 5 -6 7 8 9 10 11 12 13 -14 15 16 17 18 19 -20 0 
uf20-035 3726 1 2 3 -4 5 6 -7 8 9 10 11 12 -13 14 -15 16 17 18 19 20 0 
uf20-036 3403 -1 2 3 4 5 6 -7 8 9 10 11 -12 13 14 15 16 17 18 19 -20 0 
uf20-037 3183 -1 2 -3 4 5 6 7 8 9 -10 11 12 13 14 -15 -16 17 18 19 20 0 
uf20-038 2684 1 2 3 4 5 -6 7 8 -9 10 -11 12 -13 14 -15 -16 17 18 19 -20 0 
uf20-039 2988 -1 2 -3 -4 5 6 7 8 9 -10 -11 12 13 14 15 16 17 18 -19 20 0 
uf20-040 2616 1 2 3 4 5 6 -7 -8 9 10 -11 12 -13 -14 -15 16 17 -18 19 20 0 
uf20-041 3764 -1 2 -3 -4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 0 
uf20-042 2986 1 2 3 4 5 6 7 8 -9 10 -11 12 13 -14 -15 16 17 -18 19 20 0 
